道具id;道具名称;描述;稀有度
9313;橙色中立闲散武学书;记录了中立闲散门派的橙色品质武学，在剧本中使用：获得随机1个橙色品质武学秘籍;橙
9314;顶级中立闲散武学书;记录了中立闲散门派的顶级品质武学，在剧本中使用：获得随机1个金色或暗金品质武学秘籍;暗金
9315;蓝色装备箱;使用：获得随机1件蓝色品质装备，只能在剧本中使用。;蓝
9316;紫色秘籍箱;使用：获得随机1本蓝色品质秘籍，只能在剧本中使用。;紫
9317;铜钱*100;在剧本中使用：获得铜钱*100;白
9318;琅嬛宝图图纸;使用：学会“琅嬛宝图”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;暗金
9319;婴儿包裹布;脏兮兮的包裹布，似乎藏着什么玄机？在剧本中使用：获得《九天九地》秘籍;蓝
550000;《情意绵绵剑法》秘籍;;金
550001;《朱氏刀法》秘籍;;橙
550002;《袖里乾坤》秘籍;;橙
550003;《石灰纷飞》秘籍;;绿
550004;《莫生气》秘籍;;蓝
550005;《货郎拳》秘籍;;蓝
550006;《守门刀》秘籍;;橙
550007;《除恶剑法》秘籍;;金
550008;《少林一枝掌》秘籍;;金
550009;《武当独秀掌》秘籍;;金
550010;《仁心仁术》秘籍;;金
820347;成就-赤刀门的邀请;使用后可解锁成就：赤刀门的邀请;金
820349;成就-江湖不再;使用后可解锁成就：江湖不再;金
820350;成就-真气发作;使用后可解锁成就：真气发作;金
820351;成就-宇文庄奇案;使用后可解锁成就：宇文庄奇案;金
820352;成就-天阴教的邀请;使用后可解锁成就：天阴教的邀请;金
820353;成就-;使用后可解锁成就：;金
820354;成就-;使用后可解锁成就：;金
820355;成就-;使用后可解锁成就：;金
820356;成就-;使用后可解锁成就：;金
423045;武当弟子服;武当初入弟子所配的衣服，款式朴素，结实耐磨;蓝
820358;成就-剑法大师;使用后可解锁成就：剑法大师;金
820359;成就-刀法大师;使用后可解锁成就：刀法大师;金
820360;成就-暗器大师;使用后可解锁成就：暗器大师;金
820361;成就-拳掌大师;使用后可解锁成就：拳掌大师;金
820362;成就-腿法大师;使用后可解锁成就：腿法大师;金
820363;成就-奇门大师;使用后可解锁成就：奇门大师;金
820364;成就-医术高手;使用后可解锁成就：医术高手;金
820365;成就-内功高手;使用后可解锁成就：内功高手;金
820366;成就-医术大师;使用后可解锁成就：医术大师;金
820367;成就-内功大师;使用后可解锁成就：内功大师;金
820369;成就-;使用后可解锁成就：;金
820370;成就-;使用后可解锁成就：;金
820371;成就-;使用后可解锁成就：;金
820372;成就-;使用后可解锁成就：;金
820373;成就-;使用后可解锁成就：;金
820374;成就-;使用后可解锁成就：;金
820375;成就-剑法宗师;使用后可解锁成就：剑法宗师;金
820376;成就-刀法宗师;使用后可解锁成就：刀法宗师;金
820377;成就-暗器宗师;使用后可解锁成就：暗器宗师;金
820378;成就-拳掌宗师;使用后可解锁成就：拳掌宗师;金
820379;成就-腿法宗师;使用后可解锁成就：腿法宗师;金
820380;成就-奇门宗师;使用后可解锁成就：奇门宗师;金
820381;成就-医术宗师;使用后可解锁成就：医术宗师;金
820382;成就-内功宗师;使用后可解锁成就：内功宗师;金
820403;成就-;使用后可解锁成就：;金
820404;成就-;使用后可解锁成就：;金
820405;成就-;使用后可解锁成就：;金
9401;未鉴定的高级藏宝图;即使年代已久，还是详细记录着江湖中某个珍贵藏宝洞穴的位置。使用：开启洞穴入口;橙
9402;未鉴定的神奇藏宝图;这张尘封已久却毫不褪色的神奇藏宝图，记录着江湖中某个无人知晓的神秘藏宝洞穴。使用：开启洞穴入口以下物品必得其中之一黄金招财猫纹银匕首珊瑚佛珠砗磲贝血琥珀玛瑙宝瓶琉璃宝伞;金
9403;未鉴定的藏宝图;记录着江湖中某个藏宝洞穴的位置。使用：开启洞穴入口;紫
9417;藏宝图;精卫鸣,海干枯;蟠桃会,众神醉;西王母,青鸟使;玉石乡,黄河源...这些短句中似乎隐藏着藏宝的地点,到底在哪儿呢?;金
9418;未鉴定的闯王宝图;记录着绝世宝藏的藏宝之处，怕是又要引起江湖混乱。使用：开启洞穴入口必得一件暗金装备;暗金
550101;《下阕蝶恋花》秘籍;;蓝
550102;《上阕蝶恋花》秘籍;;蓝
550103;《芊剑》秘籍;;紫
550104;《销魂一剑》秘籍;;橙
550105;《销魂一拳》秘籍;;橙
550106;《销魂一刀》秘籍;;橙
550107;《销魂一腿》秘籍;;橙
550110;《陆家斩》秘籍;;橙
550111;《锦云诀》秘籍;;橙
550112;《五福到》秘籍;;橙
550113;《百味谱》秘籍;;橙
550114;《胸口碎大石》秘籍;;橙
550115;《生意经》秘籍;;橙
550116;《西洋万花拳》秘籍;;金
820457;成就-牢底坐穿;使用后可解锁成就：牢底坐穿;金
820458;成就-行遍四海;使用后可解锁成就：行遍四海;金
820459;成就-村霸;使用后可解锁成就：村霸;金
820460;成就-立地成佛;使用后可解锁成就：立地成佛;金
820461;成就-初试踢馆;使用后可解锁成就：初试踢馆;金
820462;成就-踢馆小成;使用后可解锁成就：踢馆小成;金
820463;成就-踢馆高手;使用后可解锁成就：踢馆高手;金
820464;成就-威名广传;使用后可解锁成就：威名广传;金
820465;成就-横行无阻;使用后可解锁成就：横行无阻;金
820466;成就-傲视武林;使用后可解锁成就：傲视武林;金
820467;成就-神秘财团黑名单;使用后可解锁成就：神秘财团黑名单;金
501001;《凌波仙子舞》残章;;金
501002;《龟息功》残章;;绿
501003;《无相神功》残章;;橙
501004;《北冥鲲吞功》残章;;金
501005;《破功化劲大法》残章;;金
501006;《四海独尊功》残章;;暗金
501007;《天山掌法》残章;;白
501008;《雪花掌法》残章;;蓝
501009;《二气掌法》残章;;紫
501010;《六阳一脉掌》残章;;金
501011;《六阴破脉手》残章;;暗金
501012;《天地无穷腿法》残章;;金
1301;铜币;行走江湖，是要花钱的;紫
1302;擂台币;可在商城“擂台”处兑换物品;橙
1303;一堆铜币;使用：获得10000铜币，只能在剧本中使用。在剧本进行时，通过背包-仓库-带入剧本功能，可将此物品从仓库运到剧本中。;紫
1304;一箱铜币;使用：获得50000铜币，只能在剧本中使用。在剧本进行时，通过背包-仓库-带入剧本功能，可将此物品从仓库运到剧本中。;金
1305;一袋铜币;使用：获得20000铜币，只能在剧本中使用。在剧本进行时，通过背包-仓库-带入剧本功能，可将此物品从仓库运到剧本中。;橙
1306;金锭;财富的象征;暗金
501020;《冰尖针》残章;;白
1309;一串铜币;使用：获得1000铜币，只能在剧本中使用。在剧本进行时，通过背包-仓库-带入剧本功能，可将此物品从仓库运到剧本中。;蓝
501022;《天山玄冰针》残章;;橙
1311;武学残文;可在收藏界面将武学等级上限从20升到30;紫
1312;中级武学残文;可将橙、金武学等级上限从20升到30;金
1313;高级武学残文;可将暗金武学等级上限从20升到30;暗金
501026;《青鸾凤舞》残章;;暗金
550201;《老神棍》秘籍;;绿
550202;《随鱼跃》秘籍;;蓝
550203;《慈父剑》秘籍;;蓝
550204;《孝女剑》秘籍;;蓝
550205;《水中行》秘籍;;紫
550206;《厚黑学》秘籍;;橙
550207;《绝绝刀》秘籍;;橙
550208;《生意谱》秘籍;;橙
550209;《八足掌法》秘籍;;橙
550210;《烈焰刀法·改》秘籍;;金
75101;《黑椒牛仔骨》菜谱;使用：学会“黑椒牛仔骨”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;白
75102;《疗伤药》配方;使用：学会“疗伤药”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;白
75103;《白面馒头》菜谱;使用：学会“白面馒头”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;白
75104;《昏睡药》配方;使用：学会“昏睡药”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;白
501101;《赤刀刀法》残章;;白
501102;《惊魂刀法》残章;;蓝
501103;《饮血刀法》残章;;橙
501104;《赤刀神功》残章;;暗金
501105;《雪中行》残章;;蓝
501106;《血海魔功》残章;;金
501107;《赤刀经》残章;;绿
501108;《傲寒六诀》残章;;紫
501111;《魔心诀》残章;;暗金
501112;《噬魂刀法》残章;;紫
1401;银锭;在江湖中流通的珍贵货币，可用于商城购买道具、解锁角色、皮肤、强化、重铸、刷新切磋乞讨冷却等各种用途;金
820604;成就-收藏者·一;使用后可解锁成就：收藏者·一;金
820605;成就-收藏者·二;使用后可解锁成就：收藏者·二;金
1406;金锭;使用后，获得金锭;暗金
820607;成就-收藏者·四;使用后可解锁成就：收藏者·四;金
820608;成就-收藏者·五;使用后可解锁成就：收藏者·五;金
9601;波波运票;拥有这张票后,就能够和李小虎来一场酣畅淋漓的波波运对决,如果赢了后,据说有神秘大奖哦~;白
9602;奇异包子;在剧本中使用：吃下奇异包子，根据不同口味获得不同奖励豆沙味：黄金招财猫肉味：500铜币芝麻味：300铜币蛋黄味：100铜币;白
9605;斋饭;在剧本中使用：为当前角色所有武学增加200点经验;白
9607;掌门召集令;此令一出,号令群雄！在剧本中使用：随机召唤某个门派掌门人在下一场战斗前来助阵;暗金
9609;经验;累计经验能提升角色等级;金
9610;百宝书经验;在百宝书系统中，完成百宝书任务获得经验，提升百宝书等级，领取更多奖励;橙
9611;抽卡;能够让角色入队的物品;橙
9612;沉香万古丹;在剧本中使用：使角色的可学天赋数量上限提升1，最多不超过20。每个角色最多使用1次传说之中的神药，服用后可以功力大增。;暗金
9613;玉髓丹;在剧本中使用：使角色所有武学精通属性（30+当前精通属性1%），每个角色最多使用3次五毒教的高级丹药，服用后可提升各种武学精通。;橙
9614;聚元丹;在剧本中使用：使角色的拳掌、刀法、奇门、医术精通增加（10+当前属性1%），每个角色最多使用5次。;橙
9615;豪杰令-伪;将所有江湖高手尽数踩于脚下的证明;暗金
9616;经脉经验;在标题画面的 周目累积-奇经八脉 页面里，花费经脉经验提升经脉等级，提升全队属性。在背包里查看剩余数量。;金
9617;幸运值;幸运值越高，游戏内奖励产出越多，每周一回复至150点。;暗金
9618;秘籍残页;秘籍的残页，可以用于各大门派兑换秘籍完本。此物品无法带入到周目仓库当中。;暗金
9621;儿时的玩具;儿时常玩的人形玩具，现在用来锻炼武学经验也挺合适，在剧本中使用后获得200武学经验;白
9622;快乐连环画;画着农家女子的连环画，阅读能增加不少人生经验。在剧本中使用：解锁漫画收藏《角色扮演1》，若已经解锁则全队获得5000点经验;白
9623;鸡毛掸子;恒山派打扫大殿时专用道具。;蓝
9625;白云仙草丸;在剧本中使用：使角色的内力阳性+10点，每个角色最多使用1次。;紫
9626;忘忧草;遗忘武学、天赋的必需品;金
9627;收徒令;与主角誓约或者结义的角色使用后将立刻收徒;金
9628;易容面具;太湖北堂世家制造出来的易容面具,可以让一个角色的立绘更改为其他角色立绘;蓝
9629;易容面具;太湖北堂世家制造出来的易容面具,可以让一个角色的立绘更改为其他角色立绘;蓝
9630;《庐山观瀑图》礼盒;装着名画《庐山观瀑图》的礼盒，在剧本中使用后可以获得庐山观瀑图。;暗金
9631;农家菜菜谱;记载着几道食物做法的食谱，其中用到狗肉的菜似乎异常的多？使用：学会金钱云腿的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;白
9632;陆郁的诗集;内容有点酸的诗集，还带插图。使用：学会“慈悲刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
9633;林家家书;记录了林家祖辈的人生轨迹和心路历程，劝人不要像秦忠贤一样对自己的身体想不开。使用：学会“乾坤百切”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;橙
9634;三袋;价值8848，丐帮身份的象征。在剧本中使用：随机召唤某个丐帮分舵长老在下一场战斗前来助阵;蓝
9635;丐帮菜谱;油炸蚂蚱，水煮苍蝇，清炒蚊子肉……使用：学会红糖发糕的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
9636;李白诗集;“床前明月光——”在剧本中使用：增加一名队友100点回合回真气;蓝
9637;剑宗元老的遗书;记载着剑宗长老的心路历程，阅读提升500点武学经验值;蓝
9638;华山猴雕;华山独有的猴雕，除了申报个税外啥都会。在剧本中使用：召唤候冠在下一场战斗前来助阵;蓝
9639;东方无敌的秘闻;记载了“小道消息！爆炸新闻！！冲击性事实！！！”等关于东方无敌不实消息的书籍。使用：学会“摧坚神爪”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
9640;普斯曲蛇胆;在剧本中使用：使角色的内力阴性+10点，服用后会中毒，每个角色最多使用3次。;金
9641;九袋;丐帮的顶级身份象征。在剧本中使用：召唤东方小亮在下一场战斗前来助阵;橙
9642;不知名的钥匙;在太湖迷宫中搜寻到的钥匙，是通往下一层的关键;白
9643;八宝紫金锭;在剧本中使用：使角色的可学武学数量上限提升1，最多不超过20。每个角色最多使用1次武当派的名贵丹药，服用后可以功力大增。;暗金
9644;金环蛇胆;在剧本中使用：使角色的真气值增加（5000+当前真气值1%），每个角色最多使用3次，服用后会中毒。非常稀有的一种蛇，直接吃蛇胆可以提高属性。;橙
9645;天阴控心丹;在剧本中使用：使角色的剑法、腿法、暗器、内功精通增加（10+当前属性1%），每个角色最多使用5次，队友服用后好感度变为99，服用后会中毒。天阴教秘宝。;金
9647;福神之气;福神会一直保佑着你。在剧本中使用之后，在跑商途中，将会提高奇遇的发生概率，避免劫镖事件，同时贩商品时也会有少量价格上涨;橙
9648;五毒教毒蛊;五毒教的毒蛊，可以直接在剧本中使用;白
9652;绿矾油;发出难忍的刺鼻气味，可用于溶化铁器，须得轻拿轻放才是;蓝
9653;护肝礼盒;在剧本中使用：获得橙色送礼材料*20;橙
9654;橙色武学残本;在剧本中使用：获得随机橙色武学残章*1;橙
9659;腊八粥;侠义岛用断肠腐心草制作，看似有毒，其实可提升内力！在剧本中使用：增加一名队友5点内功精通;暗金
75201;《煎扒青鱼》菜谱;使用：学会“煎扒青鱼”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;绿
75202;《过桥米线》菜谱;使用：学会“过桥米线”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;绿
501201;《黑月神针》残章;;蓝
9682;空白秘籍;空白的秘籍书，可将主角或队友已学会的武学抄录下来，成为一本武学秘籍。;金
501203;《辟邪·无敌斩》残章;;暗金
501204;《天地剑法》残章;;白
501205;《日月剑法》残章;;蓝
501206;《青冥剑法》残章;;橙
501207;《吸星吞日大法》残章;;金
501208;《日月宝典》残章;;暗金
501209;《玄天真气谱》残章;;紫
501210;《黑木心法》残章;;绿
9691;绝世秘籍;探索江湖，可以通过迷宫宝箱、角色交互、商店购买等方式，获得绝世秘籍，习得神功！;暗金
9692;神兵利器;探索江湖，可以通过迷宫宝箱、角色交互、商店购买等方式，获得神兵利器，独霸江湖！;暗金
9693;绝世残章;探索江湖，可以通过迷宫宝箱、角色交互、商店购买等方式，获得武学残章，提升武学等级上限。消耗幸运值，可以大大提升残章的产量和品质。;暗金
9694;角色卡;在掌门对决玩法中，最终名次越高可得越多角色卡。玩家可从最终队伍的角色中，任意自选角色卡。;暗金
501215;《玄冥腿法》残章;;暗金
501216;《黑风腿法》残章;;绿
415201;善不为的狼牙棒;满是锋锐尖刺的狼牙棒，冬天据说是甜的;绿
9698;幸运珠;漂亮的玻璃小珠子，江湖人士都很喜欢，收到它的话，即使刚刚交互失败，也愿意立即再次交互。可用于刷新切磋、乞讨、惩恶、号令、盘查、请教交互的冷却时间;金
9699;张少爷的包裹;张少爷将他历经数十年来，收集的最为珍贵的物品藏于其中。如果你想要知道里面到底是什么，那就试试看能不能从他手中夺下来吧！在剧本中使用：获得张少爷精心收集的宝物;暗金
1508;仁义香;在剧本中使用：提升仁义值10点，仅限仁义值为-50至0的角色使用。;橙
1509;卑劣药;在剧本中使用：降低仁义值10点。;橙
1510;阴阳颠倒丹;在剧本中使用：使角色的性别转换。每个角色最多使用1次。;橙
1511;绝情断骨丸;在剧本中使用：使角色的性别不可逆得转变为阴人。每个角色最多使用1次。;橙
9704;张小缨残章盒;使用后，随机获得紫，橙，金，暗金中任意品质的残章一份紫色：25%橙色：25%金色：25%暗金：25%;暗金
501225;《穿心透骨》残章;;白
501226;《玄阴真经》残章;;暗金
501227;《摧坚神爪》残章;;紫
501228;《玄阴神爪》残章;;暗金
501229;《玄阴狂爪》残章;;金
501230;《飞檐走壁》残章;;橙
9713;碎岩术;;白
9714;碎岩术;;绿
9715;碎岩术;;蓝
9716;碎岩术;;紫
9717;碎岩术;;橙
9718;采药;;白
9719;采药;;绿
9720;采药;;蓝
9721;采药;;紫
9722;采药;;橙
9723;采矿;;白
9724;采矿;;绿
9725;采矿;;蓝
9726;采矿;;紫
9727;采矿;;橙
9728;机关术;;白
9729;机关术;;绿
9730;机关术;;蓝
9731;机关术;;紫
9732;机关术;;橙
9733;金钱搜刮;;白
9734;金钱搜刮;;绿
9735;金钱搜刮;;蓝
9736;金钱搜刮;;紫
9737;金钱搜刮;;橙
9738;食材搜刮;;白
9739;食材搜刮;;绿
9740;食材搜刮;;蓝
9741;食材搜刮;;紫
9742;食材搜刮;;橙
9743;腾空术;;白
9744;腾空术;;绿
9745;腾空术;;蓝
9746;腾空术;;紫
9747;腾空术;;橙
9748;闭气术;;白
9749;闭气术;;绿
9750;闭气术;;蓝
9751;闭气术;;紫
9752;闭气术;;橙
9753;避毒术;;白
9754;避毒术;;绿
9755;避毒术;;蓝
9756;避毒术;;紫
9757;避毒术;;橙
820767;成就-;使用后可解锁成就：;金
30241;童子面;形姿优美，叶浓绿而光泽，花白色而带红晕，花形艳丽缤纷。极具观赏价值，极为珍贵。;紫
30242;桂花;宋之问的《灵隐寺》诗中有“桂子月中落，天香云外飘”的著名诗句，故后人亦称桂花为“天香”。;紫
75301;铜线手套图纸;使用：学会“铜线手套”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75302;铜项链图纸;使用：学会“铜项链”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75303;铜线鞋图纸;使用：学会“铜线鞋”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75304;铜线衣图纸;使用：学会“铜线衣”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75305;铜棍图纸;使用：学会“铜棍”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75306;铜刀图纸;使用：学会“铜刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
30251;十八学士;茶花中的珍品，由70-130多片花瓣组成六角花冠，塔形层次分明，排列有序，十分美观。相邻两角花瓣排列20轮左右，多为18轮，故称它为“十八学士”;橙
75308;老王的菜谱;老王家代代相传的菜谱，邻居们都说好。使用：学会“京酱肉丝”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75309;《渔家味道》;妈妈的味道，张小鱼的舌头最知道了！使用：学会“香茅烤鱼”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75310;不吃菜谱;薛不吃不吃东西时想到的这本不吃菜谱记载了即使是薛不吃也不会不吃的美食。使用：学会“三鲜鱼圆”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75311;铜护腿图纸;使用：学会“铜护腿”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75312;铜针匣图纸;使用：学会“铜针匣”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75313;铜扇图纸;使用：学会“铜扇”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
75314;《萝卜丝饼》菜谱;使用：学会“萝卜丝饼”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;蓝
30261;昙花;享有月下美人之誉。也叫韦驮花，花期非常短，只在夜深人静的月色下开放，故有“昙花一现”之说;金
501307;《毒牙杖法》残章;;金
501308;《青龙棍法》残章;;绿
501309;《五毒虫术》残章;;金
501310;《驱蛇术》残章;;绿
30271;彼岸花;产于中国长江流域，是《法华经》中的四华（花）之一，民间传说红色的彼岸花生长在去黄泉的路上;暗金
30272;金波旬花;此花颜色娇艳，花瓣如黄金般，诱得人上前赏闻。但只要一闻便会头晕目眩，若是服食此花，更是会身中剧毒。;暗金
411201;铁线手套;;绿
411202;一枝梅;拳套的手背部位绣有一枝曲折的梅花，分出五根枝桠分别探向五指。威力不俗，只是看上去有些阴柔。;绿
501315;《蛇形拳》残章;;白
415301;铜棍;;蓝
415302;丐帮讨饭棍;丐帮弟子专属武器，其实就是根细长竹竿;蓝
415303;少林齐眉棍;少林寺练功专用棍，上好杉木磨光制成;蓝
415304;烈阳烧火棍;能够加成少林烈阳功——以及烧火;蓝
415305;见习捕快棍;六扇门见习捕快的棍，统一配备，辨识度很低;蓝
415306;金钩枪;;蓝
415307;扛旗枪;;蓝
415308;五格棍;;蓝
415309;牛骨棒;竹棍杵地的一端已经起毛开片，另一端则嵌着根牛骨头，一半在外一半在内。据说可以敲出更清脆的声音。;蓝
415310;铸铁巨铲;坚硬的铁铲，一般用来击碎岩石。情急之下，也可以当做防身的棍棒武器来使用。;蓝
6050205;《有凤来仪·狂》天书;;金
6050204;《有凤来仪·极》天书;;橙
6050202;《鸾骞鹤舞·化》天书;;暗金
6050201;《鸾骞鹤舞·狂》天书;;金
6050197;《游走识破2级》天书;;金
6050190;《测试天赋》天书;;暗金
6050189;《矫若游龙》天书;;金
6050188;《龙腾虎跃》天书;;金
956001;刺猬拳套图纸;使用：学会“刺猬拳套”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956002;金刚圈图纸;使用：学会“金刚圈”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956003;紫金软剑图纸;使用：学会“紫金软剑”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956004;素女剑图纸;使用：学会“素女剑”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
550501;《下马威》秘籍;;紫
550502;《赤刀心经》秘籍;;橙
30311;花黄;用黄粉画或用金黄色纸剪成星月花鸟等形贴在额上，或在额上涂点黄色。;白
550504;《防寒心得》秘籍;;橙
550505;《断月》秘籍;;橙
956010;金丝大环刀图纸;使用：学会“金丝大环刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956011;璇光护腿图纸;使用：学会“璇光护腿”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956012;神木棍图纸;使用：学会“神木棍”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956013;玄女针图纸;使用：学会“玄女针”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956014;水烟扇图纸;使用：学会“水烟扇”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956015;清凉扇图纸;使用：学会“清凉扇”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956016;黄金重甲图纸;使用：学会“黄金重甲”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
30321;香囊;小布包包裹着香粉与干花，散发淡淡的香味，女子常带之物。;绿
30322;手绢;女子爱用的小手绢，绣着漂亮的花样，还有女子的香味。;绿
956019;素布阴阳道鞋图纸;使用：学会“素布阴阳道鞋”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956020;磁铁鞋图纸;使用：学会“磁铁鞋”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956021;观音玉牌图纸;使用：学会“观音玉牌”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
956022;沉香珠链图纸;使用：学会“沉香珠链”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;金
6050187;《风虎云龙》天书;;暗金
6050186;《医者仁心》天书;;金
6050185;《百毒不侵》天书;;暗金
6050184;《内圆外方》天书;;暗金
30331;香水;香气扑鼻，可以作为礼物，也可以在出海时缓解海上的颠簸感。;蓝
30332;胭脂;由朱砂和各种花瓣香料制成，女子涂在唇部、面部，妆点姿色。;蓝
30333;彩粉;由矿石和香料制成，女子涂抹于面部、额部，妆点姿色。;蓝
30334;化蝶手帕;沾着几点嫣红的白色手帕，渲染了一种悲凉的气氛，暗示了人物的悲惨命运，揭露了凄惨的社会环境。在剧本中使用：解锁漫画收藏《角色扮演6》，若已经解锁则全队获得5000点经验;蓝
6050183;《月落参横》天书;;暗金
6050182;《力之玄机》天书;;金
6050181;《白衣渡江》天书;;暗金
6002032;《赤地千里》天书;;紫
6001892;《千金万银》天书;;暗金
6001891;《富可敌国》天书;;暗金
30341;面脂;也称为面膏、面药，除了最基本的滋润功效之外还加入了很多中药成分，兼具了美白、去皱、祛斑等功效。;紫
6001807;《医术精通-无双》天书;;暗金
6001806;《医术精通-珍稀》天书;;金
6001805;《医术精通-极品》天书;;橙
75401;银丝手套图纸;使用：学会“银丝手套”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75402;银项链图纸;使用：学会“银项链”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
6001804;《医术精通-优秀》天书;;紫
75404;《牡丹燕菜》菜谱;使用：学会“牡丹燕菜”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75405;《玫瑰花饼》菜谱;使用：学会“玫瑰花饼”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75406;《酥小鲫鱼》菜谱;使用：学会“酥小鲫鱼”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
30351;玉女桃花粉;古代女子用的化妆品，驻颜白面，对防治面部疾病如粉刺、酒渣鼻也有积极作用。;橙
75408;《糖醋排骨》菜谱;使用：学会“糖醋排骨”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75409;银丝鞋图纸;使用：学会“银丝鞋”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75410;银丝衣图纸;使用：学会“银丝衣”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75411;银棍图纸;使用：学会“银棍”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75412;银刀图纸;使用：学会“银刀”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75413;银剑图纸;使用：学会“银剑”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75414;银护腿图纸;使用：学会“银护腿”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75415;银针匣图纸;使用：学会“银针匣”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
75416;银扇图纸;使用：学会“银扇”的做法。配方学会后永久解锁，在剧本中重复使用自动转换为铜币。;紫
30361;螺子黛;经过加工制造的画眉材料，制作精致，出产于波斯国。;金
501402;《风云腿》残章;;蓝
501403;《三绝刀法》残章;;蓝
6001803;《医术精通-新手》天书;;白
501405;《归元心法》残章;;绿
501406;《无名腿法》残章;;白
501407;《乾坤颠倒神功》残章;;暗金
501408;《莲座刀法》残章;;橙
501409;《三无三不刀》残章;;金
501410;《霸刀》残章;;绿
30371;露华百英粉;一种高级的爽身粉，制作工艺繁琐、香气袭人，长期用可以保养肌肤，据说汉成帝宠妃赵合德最爱在出浴后用露华百英粉，以致汉成帝认为赵合德体自香也;暗金
501412;《寒霜掌》残章;;蓝
411301;铜线手套;;蓝
411302;玄机门弟子拳套;玄机门门派统一款式;蓝
411303;武当弟子拳套;武当派门派统一款式;蓝
411304;逍遥仙宫弟子拳套;逍遥仙宫门派统一款式;蓝
411305;五毒教弟子拳套;五毒教门派统一款式;蓝
411306;毒铁手套;攻击时附加中毒。;蓝
411307;弘业的刀;除了有点臭、有点黏、有点硬以外，都挺好的;紫
411308;华山铁拳套;拳套带铁，劈石破玉再也不用担心手疼了;蓝
411309;罗永的拳套;罗永平时卖锤子时用的拳套，戴上后打脸格外清脆;蓝
411310;劈空拳套;;蓝
